City,City_Value_Count,Latitude,Longitude
Dundee,1404,56.4605938,-2.97019
London,1384,51.5074456,-0.1277653
Sheffield,1370,53.3806626,-1.4702278
Swindon,1370,51.5615327,-1.7854322
Luton,1367,51.8784385,-0.4152837
Glasgow,1365,55.861155,-4.2501687
Preston,1364,53.7593363,-2.6992717
Nottingham,1354,52.9534193,-1.1496461
Blackpool,1350,53.8179442,-3.0509812
Gloucester,1347,51.8653705,-2.2458192
Manchester,1343,53.4794892,-2.2451148
Sunderland,1343,54.9058512,-1.3828727
Derby,1332,52.9142235,-1.4719885
Bradford,1328,53.7944229,-1.7519186
Kingston upon Hull,1328,53.7435722,-0.3394758
Cannock,1321,52.688227,-2.0324197
Bristol,1320,51.4538022,-2.5972985
Birmingham,1297,52.4796992,-1.9026911
Canterbury,1291,51.2800275,1.0802533
Bolton,1279,53.5782863,-2.4300367
