0,City,County,!@#$%^&*()%Category,Manufacturer,Model,Colour&*()%,image available,Mileage,Age Months,Fuel,Transmission,guideprice,NewPrice,Body type,Engine,Mot Expire Date,Is Running,Is A Taxi,Grade
1,Bristol,Bristol (Unitary Authority),Standard,MINI,HATCHBACK DIESEL,Red,0,70935,93,DIESEL,MANUAL,3044,14485,H,16,16/07/2025 00:00,Y,N,2
2,Derby,Derbyshire,Standard,VAUXHALL,ASTRA DIESEL HATCHBACK,White,1,80291,125,DIESEL,MANUAL,1796,20320,H,17,14/02/2026 00:00,Y,N,4
3,Sheffield,South Yorkshire,Trade,SEAT,IBIZA SPORT COUPE,Black,1,77043,133,PETROL,MANUAL,1416,9675,H,12,18/02/2025 00:00,Y,N,4
4,Bradford,West Yorkshire,Trade,VAUXHALL,CORSA HATCHBACK,White,1,76305,128,PETROL,MANUAL,1062,10975,H,10,05/07/2025 00:00,Y,N,4
5,Derby,Derbyshire,Trade,FORD,GALAXY DIESEL ESTATE,Black,0,145660,101,DIESEL,AUTOMATIC,1691,27225,E,20,03/03/2025 00:00,Y,Y,4
6,Gloucester,Gloucestershire,Premium,BMW,4 SERIES GRAN DIESEL COUPE,Black,0,83508,53,DIESEL,AUTOMATIC,12145,37130,H,20,08/01/2026 00:00,Y,N,2
7,Dundee,Angus (Council Area),Premium,MERCEDES-BENZ,GLA DIESEL HATCHBACK,Black,0,53351,65,DIESEL,AUTOMATIC,12982,32140,H,21,17/09/2025 00:00,Y,N,1
8,Luton,Bedfordshire,Trade,NISSAN,QASHQAI+2 DIESEL HATCHBACK,White,0,74099,96,DIESEL,MANUAL,4751,21220,H,15,10/03/2025 00:00,Y,N,4
9,Nottingham,Nottinghamshire,Standard,VOLKSWAGEN,SCIROCCO DIESEL COUPE,Silver,1,121394,131,DIESEL,MANUAL,3253,22370,C,20,13/08/2025 00:00,Y,N,4
10,Blackpool,Lancashire,Premium,VOLKSWAGEN,POLO HATCHBACK,Silver,0,44762,76,PETROL,MANUAL,5063,13010,H,10,08/09/2025 00:00,Y,N,4
11,Gloucester,Gloucestershire,Standard,AUDI,Q5 DIESEL ESTATE,Black,1,61864,139,DIESEL,AUTOMATIC,8975,32620,E,20,06/01/2026 00:00,Y,N,4
12,Blackpool,Lancashire,Trade,BMW,3 SERIES CONVERTIBLE,Black,1,76515,159,PETROL,AUTOMATIC,4003,37760,V,30,20/10/2025 00:00,Y,N,4
13,Preston,Lancashire,Standard,MINI,COUNTRYMAN HATCHBACK,Blue,0,43914,91,PETROL,AUTOMATIC,7272,18970,H,16,04/08/2025 00:00,Y,N,2
14,Derby,Derbyshire,Premium,AUDI,A5 COUPE SPECIAL EDITIONS,Black,0,28884,56,PETROL,AUTOMATIC,18756,44460,C,30,05/01/2026 00:00,Y,N,1
15,Bolton,Greater Manchester,Standard,VAUXHALL,INSIGNIA DIESEL HATCHBACK,Black,1,90749,141,DIESEL,MANUAL,1428,21140,H,20,25/03/2025 00:00,Y,N,4
16,Preston,Lancashire,Standard,HONDA,CIVIC HATCHBACK SPECIAL EDITIONS,Red,0,51432,89,PETROL,MANUAL,5183,16820,H,18,26/09/2025 00:00,Y,N,4
17,Swindon,Wiltshire,Standard,SKODA,YETI DIESEL ESTATE,White,1,110783,131,DIESEL,MANUAL,2963,19140,E,20,05/07/2025 00:00,Y,N,4
18,Nottingham,Nottinghamshire,Trade,FORD,FUSION DIESEL ESTATE,Blue,1,63012,177,DIESEL,MANUAL,668,11692,E,14,17/08/2025 00:00,Y,N,3
19,Luton,Bedfordshire,Premium,BMW,5 SERIES DIESEL SALOON,Black,0,96537,74,DIESEL,AUTOMATIC,8757,36260,S,20,10/01/2026 00:00,Y,N,4
20,Bolton,Greater Manchester,Premium,LAND ROVER,DISCOVERY DIESEL SW,Orange,0,56130,57,DIESEL,AUTOMATIC,25920,55300,W,30,31/07/2025 00:00,Y,N,1
21,Manchester,Greater Manchester,Trade,BMW,3 SERIES COUPE,Silver,1,102758,183,PETROL,AUTOMATIC,1064,24747,C,20,31/10/2025 00:00,Y,N,4
22,Derby,Derbyshire,Premium,NISSAN,QASHQAI DIESEL HATCHBACK,Red,0,61791,70,DIESEL,MANUAL,6694,23395,H,15,21/04/2025 00:00,Y,N,3
23,Nottingham,Nottinghamshire,Standard,MAZDA,MAZDA2 HATCHBACK SPECIAL EDITION,Red,1,71610,116,PETROL,MANUAL,2008,11860,H,13,13/12/2025 00:00,Y,N,4
24,London,Greater London,Premium,FORD,FIESTA DIESEL HATCHBACK,Black,0,47195,80,DIESEL,MANUAL,4137,16890,H,16,24/10/2025 00:00,Y,N,2
25,Sheffield,South Yorkshire,Standard,KIA,CEED HATCHBACK,Silver,0,108024,101,PETROL,MANUAL,2767,17140,H,16,08/02/2026 00:00,Y,N,5
26,Bristol,Bristol (Unitary Authority),Standard,CITROEN,DS3 DIESEL HATCHBACK,Blue,0,85930,112,DIESEL,MANUAL,2193,15140,H,16,03/09/2025 00:00,Y,N,4
27,Bolton,Greater Manchester,Premium,RENAULT,MEGANE DIESEL HATCHBACK,Black,0,81507,75,DIESEL,MANUAL,3805,20690,H,15,14/09/2025 00:00,Y,N,3
28,Manchester,Greater Manchester,Premium,NISSAN,NOTE HATCHBACK,Silver,0,53649,59,PETROL,AUTOMATIC,5044,16760,H,12,22/10/2025 00:00,Y,N,3
29,Kingston upon Hull,East Riding of Yorkshire,Trade,NISSAN,NOTE HATCHBACK,Blue,1,63421,161,PETROL,MANUAL,1147,11175,H,14,21/08/2025 00:00,Y,N,4
30,Gloucester,Gloucestershire,Trade,PEUGEOT,207 HATCHBACK,Blue,1,69592,173,PETROL,MANUAL,653,10182,H,14,15/03/2025 00:00,Y,N,4
31,London,Greater London,Standard,SUZUKI,ALTO HATCHBACK,Blue,0,33214,82,PETROL,MANUAL,2081,7144,H,10,01/01/2026 00:00,Y,N,3
32,Kingston upon Hull,East Riding of Yorkshire,Premium,AUDI,TT RS ROADSTER,White,0,1254,7,PETROL,AUTOMATIC,44755,55735,R,25,,Y,N,1
33,London,Greater London,Standard,FORD,FOCUS DIESEL HATCHBACK,Black,1,108719,125,DIESEL,MANUAL,1473,18915,H,20,30/09/2025 00:00,Y,N,4
34,Nottingham,Nottinghamshire,Trade,MERCEDES-BENZ,A CLASS HATCHBACK,Black,1,130064,161,PETROL,MANUAL,613,14727,H,15,29/09/2025 00:00,Y,N,4
35,Luton,Bedfordshire,Trade,FORD,FIESTA HATCHBACK SPECIAL EDITIONS,Silver,1,85389,149,PETROL,MANUAL,1100,10375,H,14,13/08/2025 00:00,Y,N,4
36,Preston,Lancashire,Standard,VOLKSWAGEN,TOUAREG DIESEL ESTATE,White,0,48831,88,DIESEL,AUTOMATIC,14596,45965,E,30,24/10/2025 00:00,Y,N,2
37,Swindon,Wiltshire,Trade,CITROEN,C3 PICASSO DIESEL ESTATE,Black,1,155984,128,DIESEL,MANUAL,848,14590,E,16,13/03/2025 00:00,Y,N,4
38,Luton,Bedfordshire,Standard,MINI,COOPER D,Unknown,0,53404,92,DIESEL,MANUAL,4237,16125,H,16,12/08/2025 00:00,Y,N,3
39,Sheffield,South Yorkshire,Trade,PEUGEOT,207 HATCHBACK,Silver,1,56471,143,PETROL,MANUAL,780,11515,H,14,11/08/2025 00:00,Y,N,4
40,Sunderland,Tyne and Wear,Trade,VOLKSWAGEN,GOLF DIESEL ESTATE,Black,0,146916,113,DIESEL,MANUAL,1898,21910,E,16,24/11/2025 00:00,Y,N,5
41,Blackpool,Lancashire,Trade,NISSAN,MICRA HATCHBACK,Red,1,121890,131,PETROL,MANUAL,632,8425,H,12,21/09/2025 00:00,Y,N,4
42,Preston,Lancashire,Trade,AUDI,Q5 DIESEL ESTATE,Black,0,99675,111,DIESEL,AUTOMATIC,8204,34955,E,20,01/01/2026 00:00,Y,N,3
43,Luton,Bedfordshire,Standard,PORSCHE,BOXSTER ROADSTER,Silver,0,81985,129,PETROL,MANUAL,10950,34726,R,29,27/08/2025 00:00,Y,N,3
44,Bradford,West Yorkshire,Trade,BMW,3 SERIES DIESEL TOURING,Black,1,162293,161,DIESEL,MANUAL,1221,25135,E,20,28/06/2025 00:00,Y,N,4
45,Sheffield,South Yorkshire,Standard,NISSAN,QASHQAI HATCHBACK SPECIAL EDITIONS,Black,0,89225,87,DIESEL,MANUAL,4423,23535,H,16,25/11/2025 00:00,Y,N,3
46,Manchester,Greater Manchester,Standard,FORD,KA HATCHBACK,White,1,57189,137,PETROL,MANUAL,1460,9105,H,12,23/03/2025 00:00,Y,N,4
47,Cannock,Staffordshire,Trade,PEUGEOT,107 HATCHBACK,Red,1,82057,137,PETROL,MANUAL,1058,8505,H,10,21/02/2026 00:00,Y,N,4
48,Nottingham,Nottinghamshire,Trade,AUDI,A8 DIESEL SALOON,Silver,1,123368,179,DIESEL,AUTOMATIC,2755,51157,S,30,09/08/2025 00:00,Y,N,4
49,Kingston upon Hull,East Riding of Yorkshire,Trade,KIA,CEED,Blue,1,111656,128,PETROL,MANUAL,1139,10820,H,14,21/06/2025 00:00,Y,N,4
50,Nottingham,Nottinghamshire,Standard,MAZDA,CX-5 DIESEL ESTATE,Silver,0,109782,99,DIESEL,MANUAL,5276,25740,E,22,29/11/2025 00:00,Y,N,4
51,Luton,Bedfordshire,Trade,BMW,1 SERIES,Blue,1,137274,167,DIESEL,MANUAL,1148,19687,H,20,28/06/2025 00:00,Y,N,5
52,Bradford,West Yorkshire,Standard,SEAT,IBIZA SPORT COUPE,Yellow,1,94725,143,PETROL,MANUAL,1445,10105,H,14,29/11/2025 00:00,Y,N,4
53,Luton,Bedfordshire,Standard,JAGUAR,XF DIESEL SALOON,Blue,1,63711,115,DIESEL,AUTOMATIC,6008,38245,S,30,27/06/2025 00:00,Y,N,3
54,Canterbury,Kent,Trade,TOYOTA,AYGO HATCHBACK SPECIAL EDITIONS,Silver,1,82462,152,PETROL,MANUAL,1031,7910,H,10,19/01/2026 00:00,Y,N,4
55,Birmingham,West Midlands,Premium,FORD,MONDEO DIESEL HATCHBACK,Black,0,96750,78,DIESEL,MANUAL,2927,21440,H,16,29/11/2025 00:00,Y,N,5
56,Glasgow,Glasgow (Council Area),Standard,AUDI,A5 DIESEL SPORTBACK,Grey,0,53763,73,DIESEL,AUTOMATIC,9534,33595,H,20,30/01/2026 00:00,Y,N,3
57,London,Greater London,Trade,NISSAN,QASHQAI HATCHBACK SPECIAL EDITIONS,Black,0,147603,106,DIESEL,MANUAL,2570,21375,H,15,06/01/2026 00:00,Y,N,4
58,Canterbury,Kent,Premium,VAUXHALL,CORSA HATCHBACK SPECIAL EDS,Red,0,14714,47,PETROL,MANUAL,4446,10420,H,14,27/07/2025 00:00,Y,N,2
59,Luton,Bedfordshire,Standard,SKODA,FABIA DIESEL ESTATE,Silver,0,20228,112,DIESEL,MANUAL,2714,14170,E,16,11/10/2025 00:00,Y,N,4
60,Dundee,Angus (Council Area),Trade,FORD,GALAXY DIESEL ESTATE,Black,1,162879,161,DIESEL,MANUAL,1171,23780,E,20,14/10/2025 00:00,N,N,4
61,Nottingham,Nottinghamshire,Standard,VAUXHALL,CORSA HATCHBACK,Grey,0,18221,93,PETROL,MANUAL,3579,15345,H,14,30/05/2025 00:00,Y,N,4
62,Bradford,West Yorkshire,Standard,CHEVROLET,SPARK HATCHBACK,Silver,1,36910,117,PETROL,MANUAL,1315,9360,H,12,09/02/2026 00:00,Y,N,4
63,Dundee,Angus (Council Area),Trade,PEUGEOT,207 HATCHBACK,Silver,1,57516,124,PETROL,MANUAL,1035,11715,H,14,06/01/2026 00:00,Y,N,4
64,Nottingham,Nottinghamshire,Trade,PEUGEOT,308 DIESEL HATCHBACK,Black,1,103145,142,DIESEL,MANUAL,764,16855,H,16,01/01/2026 00:00,N,N,5
65,Cannock,Staffordshire,Standard,VOLKSWAGEN,POLO HATCHBACK,White,0,85932,113,PETROL,MANUAL,2589,11375,H,12,08/10/2025 00:00,Y,N,5
66,Kingston upon Hull,East Riding of Yorkshire,Standard,LEXUS,IS CONVERTIBLE,Blue,1,62958,128,PETROL,AUTOMATIC,6718,39930,V,25,11/06/2025 00:00,Y,N,3
67,Preston,Lancashire,Premium,CITROEN,GRAND C4 PICASSO ESTATE SPECIAL EDITION,Blue,0,41717,61,DIESEL,MANUAL,7067,22855,E,16,28/11/2025 00:00,Y,N,2
68,Sunderland,Tyne and Wear,Trade,VOLKSWAGEN,GOLF DIESEL HATCHBACK,Black,1,116245,149,DIESEL,MANUAL,1413,15305,H,19,30/09/2025 00:00,Y,N,3
69,Nottingham,Nottinghamshire,Standard,VOLKSWAGEN,PASSAT DIESEL SALOON,Blue,0,103561,107,DIESEL,MANUAL,2885,21091,S,16,03/07/2025 00:00,Y,N,5
70,London,Greater London,Standard,MINI,HATCHBACK DIESEL,Red,1,111228,118,DIESEL,MANUAL,2172,16005,H,16,08/07/2025 00:00,Y,N,4
71,Manchester,Greater Manchester,Trade,AUDI,A6 DIESEL SALOON,Black,1,118987,171,DIESEL,MANUAL,1435,25077,S,20,12/02/2025 00:00,Y,N,4
72,Bolton,Greater Manchester,Standard,NISSAN,JUKE HATCHBACK,Black,0,36243,107,PETROL,AUTOMATIC,5396,17410,H,16,21/04/2025 00:00,Y,N,4
73,Canterbury,Kent,Standard,VAUXHALL,CORSA HATCHBACK,White,1,56862,115,PETROL,MANUAL,2016,15197,H,14,10/07/2025 00:00,Y,N,4
