iter	MultiClass
0	1.654355123
1	1.554703099
2	1.475294455
3	1.413430713
4	1.363314696
5	1.319921939
6	1.283160942
7	1.250958779
8	1.224762322
9	1.199389985
10	1.178489529
11	1.160673221
12	1.144134216
13	1.13011475
14	1.117035419
15	1.103924432
16	1.093207858
17	1.082576472
18	1.073239106
19	1.065101532
20	1.057209446
21	1.050569426
22	1.044431901
23	1.038734424
24	1.033369474
25	1.029427615
26	1.025236745
27	1.021782888
28	1.018040072
29	1.014406356
30	1.011243709
31	1.008473509
32	1.005519075
33	1.002617003
34	1.000595597
35	0.9984475691
36	0.9966005056
37	0.9948166204
38	0.9932887541
39	0.9917084225
40	0.989739564
41	0.9883478545
42	0.9872106518
43	0.9857906743
44	0.9846897711
45	0.98336905
46	0.982137799
47	0.9811598873
48	0.9800142144
49	0.9792030003
50	0.9779330296
51	0.9771092042
52	0.9760948033
53	0.9755702527
54	0.9749257797
55	0.9741375724
56	0.9733917588
57	0.9728593148
58	0.9720041222
59	0.9712718096
60	0.970648467
61	0.9698844549
62	0.9692453091
63	0.9686800922
64	0.9679159537
65	0.9671817824
66	0.9665910795
67	0.9661207295
68	0.9656206799
69	0.9652724003
70	0.9645331094
71	0.9642221261
72	0.9635653012
73	0.9627319728
74	0.9620735096
75	0.9615836089
76	0.9612955363
77	0.9610305744
78	0.9603017245
79	0.959499594
80	0.9588983731
81	0.958498751
82	0.9580569498
83	0.9577007364
84	0.9575211176
85	0.9567562869
86	0.9562504923
87	0.9555306701
88	0.9550195166
89	0.9547189027
90	0.953874609
91	0.9534164814
92	0.9531038017
93	0.9524873525
94	0.9521388581
95	0.9517803783
96	0.9512474539
97	0.950898056
98	0.9507118269
99	0.9503839368
100	0.9498257705
101	0.94948266
102	0.9488754843
103	0.9486821085
104	0.9483583478
105	0.9479044641
106	0.9471300161
107	0.946874441
108	0.9463326306
109	0.9460765665
110	0.9457193224
111	0.9453875453
112	0.9449651644
113	0.9447596686
114	0.9443582015
115	0.9439097953
116	0.943251346
117	0.942931771
118	0.9426076417
119	0.9421803585
120	0.9415606732
121	0.9410329758
122	0.940583582
123	0.9398668311
124	0.9394937456
125	0.9392929508
126	0.9386967653
127	0.9381709413
128	0.9378098016
129	0.9374661975
130	0.9370799325
131	0.9365765748
132	0.9362302472
133	0.9357747225
134	0.9353435614
135	0.9350378742
136	0.9344812359
137	0.9340381765
138	0.933507736
139	0.9333066645
140	0.9329222585
141	0.9327114918
142	0.932439242
143	0.9319433293
144	0.9316234297
145	0.9312849345
146	0.9309005949
147	0.9306392276
148	0.9303141638
149	0.9299300733
150	0.9296039567
151	0.9293398672
152	0.9290028659
153	0.9287304765
154	0.9283293077
155	0.9280335706
156	0.9276474524
157	0.9272063338
158	0.9268557614
159	0.9263536325
160	0.9259770152
161	0.9256999474
162	0.9252658085
163	0.924915341
164	0.92439536
165	0.9241817131
166	0.9237779924
167	0.9235075801
168	0.9232255479
169	0.9228389186
170	0.9226389418
171	0.9222831958
172	0.9218753947
173	0.9216256004
174	0.9213877122
175	0.920971906
176	0.9204043534
177	0.9202336423
178	0.9197662936
179	0.919460596
180	0.9188608449
181	0.9184424398
182	0.9180351408
183	0.9177261966
184	0.9175286914
185	0.9171464151
186	0.916986654
187	0.9165140981
188	0.9161775565
189	0.9159233538
190	0.915303352
191	0.9149346779
192	0.9144393177
193	0.9141879169
194	0.913930131
195	0.9134096589
196	0.9131292173
197	0.9124897221
198	0.9121600666
199	0.9117343308
200	0.9114859334
201	0.9110364769
202	0.9105337862
203	0.9102182237
204	0.9098908363
205	0.9094927184
206	0.9092244127
207	0.9089547775
208	0.9087459166
209	0.9084248984
210	0.9080788208
211	0.907921382
212	0.9077309584
213	0.9074499312
214	0.9071587971
215	0.9068279583
216	0.9064982059
217	0.9060392053
218	0.905717412
219	0.9053663951
220	0.904878028
221	0.9045862799
222	0.9040982445
223	0.9038743958
224	0.9035467962
225	0.9030826493
226	0.9028496288
227	0.9020579451
228	0.9018293243
229	0.9013492703
230	0.9008607713
231	0.9005261476
232	0.9002214801
233	0.8996353654
234	0.8993521795
235	0.8990862476
236	0.8986508598
237	0.8982855501
238	0.8979642862
239	0.8975918856
240	0.8973798154
241	0.8971029443
242	0.8967403807
243	0.8964113098
244	0.8962066112
245	0.895852761
246	0.8956209563
247	0.895385791
248	0.8949475558
249	0.8945778451
250	0.8943160127
251	0.8939507509
252	0.8934252282
253	0.893149836
254	0.8927280343
255	0.8926266504
256	0.8924803027
257	0.8921381949
258	0.8918264272
259	0.8914530951
260	0.8911262662
261	0.8908256112
262	0.8907248564
263	0.8904180407
264	0.8901307508
265	0.8899965937
266	0.889851764
267	0.8894211263
268	0.8891777095
269	0.888642757
270	0.8883765121
271	0.8879661189
272	0.8876347497
273	0.8873536195
274	0.8870315703
275	0.8867494317
276	0.88654008
277	0.8862948155
278	0.8860509779
279	0.8857970543
280	0.8856342658
281	0.8854655774
282	0.8852346935
283	0.8848616816
284	0.8846027128
285	0.8840328547
286	0.8836912397
287	0.883471836
288	0.8832361237
289	0.882769983
290	0.8825218329
291	0.8822534579
292	0.8820066519
293	0.881639349
294	0.8814291426
295	0.8812621857
296	0.8809491113
297	0.8807536132
298	0.8806330511
299	0.8803516971
300	0.8799210844
301	0.8796847773
302	0.8794547832
303	0.8789213305
304	0.8785605984
305	0.8781797609
306	0.8779036598
307	0.8775553939
308	0.8773598893
309	0.8770348984
310	0.8766678968
311	0.8764177145
312	0.8762327196
313	0.8758512942
314	0.8755447851
315	0.8753447857
316	0.8749943484
317	0.8745586779
318	0.8743289446
319	0.8740973296
320	0.8736972531
321	0.8733805803
322	0.8729832096
323	0.8726607736
324	0.8723586352
325	0.8720837059
326	0.8716631907
327	0.8713827218
328	0.8710769718
329	0.8708196959
330	0.8706891954
331	0.8702569105
332	0.8697842681
333	0.8695007684
334	0.869290821
335	0.8691044121
336	0.8688187574
337	0.8685746157
338	0.868249294
339	0.8680370967
340	0.8678599359
341	0.8677105468
342	0.8673142258
343	0.8670562189
344	0.8669119707
345	0.866606343
346	0.866324059
347	0.8659461936
348	0.8656305116
349	0.8653474333
350	0.8651210603
351	0.8648003624
352	0.8644214023
353	0.8639753081
354	0.8637934456
355	0.8635423406
356	0.8632928
357	0.8628489374
358	0.8626556679
359	0.8624669663
360	0.8621190223
361	0.8617581351
362	0.8615734686
363	0.8614908106
364	0.8612292731
365	0.8609502767
366	0.8606057355
367	0.8602774093
368	0.859989143
369	0.8597726589
370	0.859576776
371	0.8592646024
372	0.8589244411
373	0.8586785141
374	0.8585683338
375	0.8582702528
376	0.8579567374
377	0.857512548
378	0.8573536038
379	0.8571735882
380	0.8569782166
381	0.8567635088
382	0.8564322864
383	0.8562468131
384	0.8558905587
385	0.85563924
386	0.8554703683
387	0.8551687652
388	0.8549526864
389	0.854766094
390	0.8544929373
391	0.8543458292
392	0.8541724691
393	0.8540259298
394	0.8537984248
395	0.8536068058
396	0.8533246605
397	0.8529116313
398	0.8527267272
399	0.8524040531
400	0.8518952514
401	0.8515173583
402	0.8512697986
403	0.8509992502
404	0.8507562932
405	0.8505196308
406	0.8502253192
407	0.8499927156
408	0.8497719407
409	0.8494924389
410	0.8492409605
411	0.8490613469
412	0.8488111545
413	0.848661157
414	0.8482955507
415	0.8479817365
416	0.847724348
417	0.8474954584
418	0.8472301424
419	0.8469939815
420	0.8469046314
421	0.846646344
422	0.8463832481
423	0.8460500503
424	0.8458348801
425	0.845521955
426	0.8452406408
427	0.8449879295
428	0.8447579528
429	0.8445897788
