iter	Passed	Remaining
0	6	6094
1	11	5630
2	16	5475
3	22	5508
4	27	5447
5	33	5467
6	38	5416
7	43	5418
8	49	5408
9	54	5366
10	59	5370
11	65	5378
12	70	5364
13	76	5385
14	81	5367
15	86	5343
16	91	5312
17	98	5350
18	103	5337
19	108	5338
20	113	5306
21	119	5291
22	124	5305
23	129	5284
24	135	5298
25	141	5294
26	146	5267
27	151	5250
28	156	5255
29	162	5259
30	168	5252
31	173	5256
32	179	5256
33	185	5256
34	190	5257
35	196	5249
36	201	5244
37	206	5233
38	211	5216
39	217	5212
40	222	5215
41	228	5212
42	234	5212
43	240	5216
44	245	5201
45	250	5187
46	255	5179
47	261	5195
48	267	5184
49	272	5171
50	278	5173
51	283	5166
52	288	5148
53	292	5131
54	297	5117
55	303	5120
56	308	5110
57	314	5102
58	319	5090
59	324	5082
60	329	5064
61	334	5055
62	339	5050
63	344	5036
64	349	5033
65	355	5026
66	361	5028
67	366	5029
68	372	5025
69	377	5012
70	382	4999
71	386	4981
72	392	4987
73	398	4980
74	403	4981
75	409	4979
76	414	4967
77	418	4951
78	424	4948
79	430	4946
80	435	4946
81	441	4944
82	446	4938
83	452	4938
84	455	4899
85	460	4898
86	466	4892
87	471	4888
88	477	4883
89	482	4875
90	487	4872
91	493	4872
92	498	4860
93	503	4853
94	508	4843
95	514	4841
96	519	4840
97	525	4837
98	530	4830
99	535	4818
100	540	4812
101	545	4802
102	551	4799
103	556	4794
104	561	4784
105	566	4781
106	572	4780
107	578	4776
108	583	4769
109	589	4765
110	594	4760
111	598	4747
112	604	4744
113	609	4739
114	614	4731
115	620	4728
116	626	4726
117	631	4721
118	637	4718
119	642	4713
120	648	4711
121	654	4710
122	659	4701
123	664	4694
124	669	4686
125	674	4676
126	679	4671
127	684	4663
128	690	4663
129	695	4656
130	701	4650
131	707	4650
132	712	4646
133	718	4642
134	723	4632
135	729	4632
136	734	4629
137	740	4625
138	745	4619
139	750	4610
140	755	4605
141	761	4600
142	766	4595
143	772	4590
144	777	4584
145	783	4580
146	788	4575
147	793	4569
148	798	4561
149	804	4557
150	809	4553
151	815	4548
152	820	4544
153	826	4539
154	831	4532
155	837	4528
156	842	4522
157	847	4518
158	853	4514
159	858	4506
160	863	4501
161	869	4499
162	875	4493
163	880	4488
164	886	4485
165	891	4478
166	896	4471
167	901	4462
168	906	4455
169	911	4450
170	916	4444
171	922	4439
172	927	4436
173	933	4432
174	939	4429
175	944	4421
176	949	4416
177	954	4409
178	960	4404
179	965	4399
180	971	4393
181	976	4390
182	982	4385
183	987	4380
184	993	4374
185	998	4371
